
 Oxidised N;

year;OR1;OR2;OR3;OR4;OR5;EEZ100;EEZ1065;EEZ1071;EEZ108;EEZ109;EEZ110;EEZ1100;EEZ119;EEZ1213;EEZ185;EEZ188;EEZ189;EEZ190;EEZ191;EEZ2065;EEZ209;EEZ2100;EEZ212;EEZ213;EEZ215;EEZ216;EEZ2209;EEZ2213;EEZ2216;EEZ224;EEZ273;EEZ3108;EEZ3209;EEZ3213;EEZ4091;EEZ4209;EEZ4213;EEZ4273;EEZ48;EEZ5065;EEZ5071;EEZ5091;EEZ5100;EEZ5108;EEZ5209;EEZ5213;EEZ5273;EEZ65;EEZ71;EEZ91;EEZ99
1995;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0
1996;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0
1997;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0
1998;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0
1999;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0
2000;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0
2001;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0
2002;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0
2003;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0
2004;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0
